index,path,name
280,_TXdodo_406ab6851e9b4259a4a71824e5da5786,3D打印笔
281,_northerntree_lux_meter,便携照度测量仪
282,_small_da_2.9cun_zhuo_mian_mo_shui_ping_ba,2.9寸_1.54寸桌面墨水屏摆件
283,_dimsmary_dactyl_helloworld,Dactyl_HelloWord人体工程学键盘
284,_course_examples_dan_pian_ji_jian_yi_shu_ma_guan_dian_zi_shi_zhong,_单片机_简易数码管电子时钟
285,_aknice_100_mi_ji_guang_ce_ju_yi,附开发全流程#100米±2mm高精度激光测距仪
286,_small_da_esp8266mi_ni_xiang_su_deng,esp8266迷你像素灯
287,_micespring_handcon,#第七届立创电赛#小型功率分析仪
288,_ai_thiner_openteam_vc_debugtools,VC_DebugTools
289,_zhong123_ben_di_yu_yin_USBkong_zhi_qi,立创面板打印___本地语音USB控制器
290,_zhangshuning_wu_xie_feng_shan_tai_deng,无叶风扇台灯
291,_ai_thiner_openteam_aihandy,AiHandy
292,_jie326513988_sakana_yu_yin_bo_fang_qi,立创面板打印_SAKANA~
293,_xljxlj_typec_jie_kou_de_msata_ying_pan_he_zi,基于ASM1153E的TYPEC接口的MSATA硬盘盒子
294,_torah_xing_huo_ji_hua_ba_gua_jian_pan_by_sudo_wang_yq,_八卦.键盘_Sudo._Wang(YQ.)__#星火计划#
295,_daqolee_sakana,Sakana摇摇乐语音底座
296,_lemon_wifi_IN12_Time,_辉光_IN12世界线变动仪！
297,_yanqisui_esp32_getway,ESP32_WiFi_蓝牙网关_ESP32_GetWay
298,_z_star_pian_xie_mi_ni_jia_re_tai_V2.0,便携迷你加热台V2.0
299,_momao_8712,#第七届立创电赛#充电桩（8512）
300,_pcbguy_shi_er_zi_you_du_hong_meng_si_zu_gou_gou,_训练营_基于Hi3861—OpenHarmony_Puppy
301,_emowhh_free_sound_main_v2,_FreeSound_年轻人的第一台蓝牙音箱
302,_gnosis_n32g430,#第七届立创电赛#N32G430电流表及快充采样
303,_wowowo123_hu_tao_yao_mian_tie_tu_zhi,胡桃摇面贴图纸
304,_vihor_LED_ET5120A_1_8W,1.8W_LED球泡灯
305,_a0174225_OuhagyZ8X7CBSgGANculwyUiD8ZULyoI,太阳能追光系统
306,_yydsdx_7f606958420e4e5b88bf381e0050a050,zynq_mini_pi_S
307,_xpya_WLED,WLED
308,_12344321a_duo_gong_nen_xuan_zhuan_han_tai_1,多功能旋转焊台
309,_fortomorrow_gao_ya_ci_fen_tan_tou_V3,开源高压差分探头OP5205
310,_cqzww_WiFi_USB_DAPLink,WiFi_USB_DAPLink
311,_yy5555444_ai_zhi_nen_li_xian_yu_yin_kong_diao_wan_nen_yao_kong_qi_v2,AI智能离线语音空调万能红外遥控器
312,_flyn_yBNBlBA87v2Q7eBf5Prj3rSULd3uFKcu,超迷你T12焊台
313,_an_ye_cube_466_linux_xiao_dian_nao,Cube_466_linux小电脑
314,_longmao_yi_zhi_wa_li_ji_qi_ren,_毕设_一只瓦力机器人
315,_kakaka_031a1966599541ef9b6bed513bad5b20,智能手办盒_miniBox_
316,_PscGalen_CC_PSC_NC_SA_BUCKBOOST_BOARD,四开关BUCK_BOOST开发板
317,_100askteam_yuzukirulerpro,YuzukiRuler_Pro_随身Linux小尺子
